Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"TALES OF BRAVERY (IRE)",2020,GELDING,,H:x,H:x,H:x,H:x,-,-
"TALES OF WISDOM (IRE)",2023,GELDING,"Charlie Appleby",T:x,A:x,A:x,-,-,-
"TALES OLD AS TIME (GB)",2023,GELDING,"Edward Smyth-Osbourne",T:x,A:x,A:x,-,-,-
"TALIS EVOLVERE (IRE)",2020,GELDING,"Richard Hannon",T:74,T:79,A:80,A:89,A:80,A:88
"TALISMANS TIME (GB)",2022,GELDING,"Edward Bethell",T:0,T:0,T:85,T:x,T:x,A:x
"TALK OF NEW YORK (GB)",2023,COLT,"Charlie Appleby",T:112,T:104,A:x,-,-,-
"TALK TO THE MAN (IRE)",2020,GELDING,"Dan Skelton",H:x,H:x,H:x,N:x,N:x,-
"TALKING IN KODE (GB)",2023,FILLY,"Edward Bethell",T:x,T:x,T:x,-,-,-
"TAM LIN (IRE)",2022,GELDING,"Michael Appleby",A:42,A:31,A:55,A:55,A:49,A:54
"TAMARIND BAY (IRE)",2020,GELDING,"Mickey Bowen",H:114,H:x,H:x,H:x,H:x,H:0
"TAMARIS (IRE)",2017,GELDING,,A:58,A:65,A:60,A:58,A:58,S:0
"TAMASHAL (IRE)",2023,COLT,"Richard Hannon",A:50,T:62,A:81,A:x,A:x,A:x
"TAMATHER (GB)",2023,GELDING,,A:51,A:44,T:53,A:43,T:60,T:x
"TAMBORA (GB)",2023,COLT,"Richard Hannon",T:x,T:x,T:x,-,-,-
"TAMFANA (GER)",2021,FILLY,,T:104,T:98,T:114,T:109,T:117,T:112
"TAMRAT (IRE)",2021,GELDING,,T:82,T:73,-,-,-,-
"TAMZAN (GB)",2023,FILLY,"Marcus Tregoning",T:67,T:67,A:x,A:60,A:x,T:x
"TAN RAPIDO (GB)",2021,GELDING,"Charlie Fellowes",A:78,T:63,T:78,T:78,A:80,T:83
"TANAKA (IRE)",2023,FILLY,"David O'Meara",T:12,A:11,T:x,T:x,T:x,-
"TANGANYIKA (FR)",2018,GELDING,"Venetia Williams",S:0,S:0,S:133,S:140,S:134,S:127
"TANJEN (IRE)",2022,FILLY,"Tim Easterby",T:52,T:63,A:42,T:69,A:75,T:58
"TANKARDSTOWN DIVA (IRE)",2019,FILLY,"Tom Ellis",H:111,H:124,H:116,S:0,S:111,H:110
"TANKING ALONG (IRE)",2019,GELDING,"Patrick Neville",S:106,S:107,S:105,S:78,S:98,H:81
"TANMAWWY (IRE)",2018,GELDING,"Heather Main",T:41,A:78,T:67,T:68,T:79,T:62
"TANTIVY VAVOOM (IRE)",2020,FILLY,"Ruth Jefferson",H:0,H:x,H:x,H:x,-,-
"TAO ENKI (FR)",2020,GELDING,"Alastair Ralph",H:102,H:105,H:97,H:x,H:x,H:x
"TAP DANCER (GB)",2022,FILLY,"Jim Goldie",T:52,T:56,A:50,T:61,T:60,T:64
"TAP TAP SHAMIE (IRE)",2020,GELDING,"Olly Murphy",H:x,H:x,H:x,-,-,-
"TAPLEY (GB)",2017,GELDING,,S:71,S:117,S:120,S:115,S:120,S:116
"TARA ITI (GB)",2018,GELDING,"Barry Brennan",H:0,H:63,A:27,H:x,H:101,H:87
"TARA STORM (FR)",2016,GELDING,"Miss Eve Hobbs",H:0,-,-,-,-,-
"TARANJERINE (IRE)",2022,GELDING,,A:56,A:59,A:16,A:58,A:58,A:41
"TARAS HALLS (IRE)",2018,GELDING,"Joel Parkinson & Sue Smith",S:112,S:0,S:120,S:0,S:119,H:0
"TARBAT NESS (GB)",2019,GELDING,"John Berry",T:64,T:68,A:65,A:69,A:71,A:72
"TARBUCK (GB)",2018,GELDING,"Claire Dyson",H:0,H:71,H:74,H:95,H:104,H:x
"TARDAFF (GB)",2022,FILLY,"Ian Williams",T:40,T:x,A:x,T:x,T:x,T:x
"TARITINO (IRE)",2020,GELDING,"Joe Tickle",H:89,H:100,H:97,H:85,H:95,H:80
"TARKHAN (GER)",2019,GELDING,"Jamie Osborne",T:69,T:64,T:75,T:98,T:89,T:97
"TARLAC (IRE)",2022,GELDING,"Katie Scott",T:43,T:40,T:52,T:44,A:35,T:46
"TARMONBARRY KID (IRE)",2023,GELDING,"Richard & Peter Fahey",T:71,T:61,A:x,A:x,T:x,-
"TAROT (GB)",2023,FILLY,"Roger Varian",T:74,A:x,A:x,T:x,T:x,-
"TARRIANCE (GB)",2022,GELDING,"Andrew Balding",T:104,T:89,T:105,T:101,T:93,T:x
"TASDEED (FR)",2021,GELDING,"Charlie Pike",A:49,A:62,A:75,A:9,A:x,A:x
"TASEVER (GB)",2020,GELDING,"Patrick Morris",A:48,A:61,A:68,A:67,A:70,A:66
"TASHAN (GB)",2021,GELDING,"Emma Lavelle",H:0,H:0,H:114,H:x,H:x,H:x
"TASHI DELEK (IRE)",2023,FILLY,"James Fanshawe",A:63,T:x,T:x,T:x,-,-
"TASHKHAN (IRE)",2018,GELDING,"Brian Ellison",H:x,H:x,H:x,H:x,H:x,T:89
"TASKHEER (IRE)",2018,GELDING,"Daniel Steele",A:33,A:49,A:42,A:49,A:49,A:46
"TASMANIA (GER)",2020,FILLY,,A:93,A:104,-,-,-,-
"TASS (GB)",2023,GELDING,"Henry Candy",T:x,A:x,A:x,-,-,-
"TATMEEN (IRE)",2021,GELDING,,A:37,A:21,A:49,A:38,A:37,A:54
"TATTERSTALL (IRE)",2020,GELDING,"Michael Dods",T:89,A:77,T:56,A:91,T:93,T:85
"TATTIE BOGLE (GB)",2022,GELDING,"Charlie Johnston",T:68,T:35,T:68,T:66,A:60,A:67
"TATTYCORAM (GB)",2022,FILLY,"Ralph Beckett",T:98,T:89,T:92,T:89,T:89,T:x
"TAURUS BAY (IRE)",2021,GELDING,"Ben Pauling",H:x,H:x,H:x,H:x,-,-
"TAVANA (GB)",2023,FILLY,"Edward Smyth-Osbourne",T:84,T:72,T:89,T:88,T:x,-
"TAWASOL (GB)",2022,COLT,,T:80,T:65,T:92,T:x,T:x,A:x
"TAX FOR MAX (GER)",2017,GELDING,,S:85,S:115,S:112,S:109,S:113,H:95
"TAXUS BACCATA (IRE)",2018,FILLY,"Robbie Llewellyn",S:114,S:90,S:110,S:104,S:98,H:67
"TAYGAR (IRE)",2021,FILLY,"Michael Dods",T:63,T:62,T:54,T:51,T:50,T:46
"TAYIB YOUMZAIN (FR)",2022,GELDING,,T:47,A:65,T:70,-,-,-
"TAYLORMADE LAD (IRE)",2022,GELDING,"Michael Dods",T:64,T:64,A:47,T:64,T:63,A:57
"TAZAMAN (GB)",2017,GELDING,"Kevin & Lauren Frost",T:47,T:62,A:58,T:62,T:62,T:59
"TEA BOY (IRE)",2020,GELDING,"Peter Atkinson",H:80,H:x,H:x,H:x,N:x,N:x
"TEA LEAF TED (IRE)",2021,GELDING,,T:19,T:0,A:37,A:0,A:38,A:40
"TEA SEA (FR)",2020,GELDING,"Tony Carroll",A:65,T:61,T:71,A:64,T:68,T:68
"TEAM ENDEAVOUR (GB)",2019,GELDING,"Barry Murtagh",A:39,A:45,T:30,T:41,T:45,T:36
"TEAM PLAYER (GB)",2022,GELDING,"Ewan Whillans",T:92,T:92,A:83,A:74,A:78,A:73
"TEARDROPS (GB)",2022,GELDING,"Tony Carroll",T:38,A:60,A:62,A:62,A:8,A:60
"TECH THAT (IRE)",2019,GELDING,"Richard Phillips",S:0,H:0,H:87,H:66,H:x,H:x
"TED LE SAUX (GB)",2022,GELDING,"Andrew Balding",T:70,A:x,A:x,A:x,-,-
"TED THE THIEF (IRE)",2020,GELDING,"Robert Walford",S:88,S:86,S:79,S:75,S:73,H:x
"TEDDY BLUE (GER)",2018,GELDING,"Harry Derham",S:144,S:0,S:136,S:129,S:127,S:124
"TEDDY SHAW (GB)",2021,GELDING,"Ruth Carr",A:x,A:x,A:x,-,-,-
"TEDWIN HILLS (IRE)",2017,GELDING,"Warren Greatrex",S:114,S:98,S:113,S:105,S:0,S:0
"TEE AITCH AYE (IRE)",2021,GELDING,"Iain Jardine",T:19,A:15,T:59,T:66,T:69,T:65
"TEES AGGREGATES (IRE)",2022,GELDING,"Adrian Nicholls",T:69,T:65,T:69,T:55,A:68,T:60
"TEES COMP'S CLIVE (GB)",2018,GELDING,"Gillian Boanas",H:82,H:66,H:81,H:79,H:78,H:83
"TEES GEORGE (GB)",2020,GELDING,"Adrian Nicholls",T:55,T:63,T:58,A:54,A:42,A:60
"TEES SPIRIT (GB)",2018,GELDING,"Adrian Nicholls",T:48,T:36,T:81,T:80,T:47,T:93
"TEGGY LASSO (IRE)",2022,GELDING,"Michael Appleby",A:54,A:55,A:54,A:55,A:58,A:x
"TEKITOFF (GB)",2023,GELDING,"Mark Walford",T:64,T:65,A:63,A:x,T:x,T:x
"TELE RED (GB)",2017,GELDING,"K. R. Burke",T:80,T:78,T:72,T:71,T:69,T:72
"TELECOMMUNICATION (IRE)",2022,GELDING,,T:65,A:9,A:73,T:71,T:68,T:55
"TELEPATHIC (IRE)",2022,GELDING,,A:48,A:73,T:50,A:75,T:76,T:70
"TELEPATHIQUE (GB)",2018,FILLY,"Lucy Wadham",S:0,S:146,S:139,S:141,S:147,S:138
"TELFY BOY (IRE)",2023,COLT,,A:55,A:63,T:x,A:x,A:x,-
"TELHIMLISTEN (IRE)",2016,GELDING,"Jennie Candlish",H:0,H:114,H:110,H:108,H:103,S:102
"TELL ME AGAIN (IRE)",2018,GELDING,"Micky Hammond",S:34,S:0,-,-,-,-
"TELL THE TALE (IRE)",2020,GELDING,"Neil Mulholland",H:95,H:82,H:80,H:x,H:x,H:x
"TELLHERTHENAME (IRE)",2019,GELDING,"Dan Skelton",S:132,H:122,H:131,S:128,H:106,H:0
"TELLING TIME (GB)",2023,GELDING,"Charlie Longsdon",T:32,T:39,T:38,A:52,A:36,A:38
"TELLMESOMETHINGOOD (IRE)",2018,GELDING,"Alan Hill",H:0,S:67,H:94,H:94,H:0,H:77
"TEMPER TRAP (GB)",2017,GELDING,,T:0,T:55,T:56,T:56,T:48,T:54
"TEMPLE (GB)",2023,COLT,"Jane Chapple-Hyam",A:x,T:x,T:x,-,-,-
"TEMPLE OF ATHENA (GB)",2023,FILLY,"Brian Ellison",T:69,T:66,T:88,A:89,T:84,T:78
"TEMPTED (GB)",2022,FILLY,,A:50,A:54,A:63,T:58,A:68,T:66
"TEN BOB TONY (IRE)",2021,GELDING,"Ed Walker",T:82,T:93,T:87,T:112,T:97,T:97
"TEN CARAT HARRY (GB)",2023,GELDING,"Jamie Osborne",T:101,A:97,A:96,A:97,A:97,A:90
"TEN CLUB (IRE)",2021,GELDING,"Adrian Wintle",A:34,A:38,A:47,A:47,A:61,A:60
"TEN CUIDADO (IRE)",2023,GELDING,"Mark Usher",A:x,A:x,A:x,T:x,-,-
"TEN POUNDS (IRE)",2021,GELDING,"Joey Ramsden",T:102,T:90,T:97,A:99,A:103,A:102
"TEN SIXTY SIX (IRE)",2023,FILLY,"David O'Meara",T:43,T:53,A:x,T:x,T:x,T:x
"TEN TEN TWENTY (IRE)",2018,GELDING,"D. J. Jeffreys",H:42,H:0,A:49,A:47,T:27,T:28
"TENABILITY (GB)",2022,GELDING,"William Haggas",T:109,T:103,T:100,T:94,T:88,T:x
"TENADAAY (GB)",2022,GELDING,"Fergal O'Brien",A:60,A:60,H:52,H:95,T:10,A:55
"TENBOB TOMMY (GB)",2021,GELDING,"Sheena West",T:77,A:x,A:61,A:65,A:70,T:68
"TENISON (GB)",2023,FILLY,"Peter Chapple-Hyam",T:49,T:x,A:x,T:x,-,-
"TENNESSEE GOLD (FR)",2021,GELDING,"Joseph Parr",T:59,A:68,A:61,A:73,A:78,A:77
"TENNESSEE TANGO (IRE)",2020,GELDING,,H:111,H:0,H:x,H:x,H:x,H:x
"TENTER LE TOUT (FR)",2022,FILLY,"Chester Williams",H:x,H:108,H:114,H:123,H:x,N:x
"TENZI (IRE)",2023,FILLY,"Jamie Osborne",T:53,A:62,A:x,A:x,T:x,T:x
"TEORIE (IRE)",2020,GELDING,,H:88,H:89,H:96,H:63,H:90,H:96
"TEQUILA (FR)",2022,FILLY,,T:61,A:59,T:61,T:71,T:67,T:x
"TEQUILA STAR (IRE)",2022,GELDING,"Dominic Ffrench Davis",A:28,A:50,T:34,A:43,T:60,T:51
"TERIFERMA (GB)",2021,GELDING,"Jack Jones",H:114,H:120,H:112,H:123,-,-
"TERM OF ENDEARMENT (GB)",2019,FILLY,,T:100,T:101,T:98,T:106,T:108,T:106
"TERRANOBLE (GB)",2023,COLT,"Denis Coakley",T:0,T:46,A:x,A:x,A:x,-
"TERRAPIN (GB)",2022,COLT,,A:41,A:66,A:x,A:x,A:x,-
"TERRIES ROYALE (GB)",2020,GELDING,"Tony Carroll",T:0,A:51,A:60,A:52,A:62,A:61
"TERRITORIAL KNIGHT (GB)",2022,GELDING,"Kevin Ryan",T:81,T:84,T:82,T:87,T:85,T:82
"TERRITORIAL STAR (GB)",2023,FILLY,"Rebecca Menzies",T:47,A:55,A:57,T:49,T:65,T:x
"TERRORISE (GB)",2021,GELDING,"Brian Ellison",T:62,T:45,T:61,T:72,T:73,T:78
"TEST THE MARKET (GB)",2021,GELDING,"Jim Boyle",H:90,H:x,H:x,-,-,-
"TESTFLIGHT (GB)",2017,GELDING,"Susan Gardner",S:23,H:66,S:79,H:72,S:41,H:75
"TESTING PATIENCE (IRE)",2020,GELDING,"Gary & Josh Moore",H:x,H:x,H:x,N:x,N:x,-
"TETSWORTH (GB)",2022,GELDING,"Gary & Josh Moore",H:x,H:x,A:65,A:69,H:97,T:69
"TEUMESSIAS FOX (IRE)",2019,GELDING,"Andrew Balding",A:96,A:97,A:98,A:100,A:97,T:99
"TEWKESBURY (IRE)",2023,GELDING,,T:62,A:54,A:75,A:x,A:x,A:x
"TEX (FR)",2021,GELDING,"George Baker",A:30,T:67,T:68,T:64,T:67,T:65
"TEXARD (FR)",2015,GELDING,"Richard Armson",S:0,S:59,S:0,S:87,S:0,S:91
"THAI PRINCESS (GB)",2023,FILLY,"Andrew Balding",A:x,A:x,A:x,-,-,-
"THAISA (GB)",2022,FILLY,,A:x,A:x,T:x,A:x,A:x,-
"THALUNA (GB)",2023,FILLY,"William Haggas",T:83,T:80,T:x,T:x,-,-
"THANH NAM (GB)",2023,COLT,,A:50,A:59,A:55,A:51,A:59,A:55
"THANK THE LORD (GB)",2019,GELDING,"Gary Harrison",T:13,A:26,A:22,A:54,A:39,A:57
"THANK YOU BLUE (GB)",2017,GELDING,"Jennie Candlish",H:0,H:110,H:0,H:117,H:114,H:105
"THANK YOU MA'AM (GB)",2019,GELDING,"Georgina Nicholls",H:123,H:126,H:123,H:116,S:0,S:111
"THANKFULLY (IRE)",2023,FILLY,"K. R. Burke",T:x,T:x,T:x,-,-,-
"THANKFULLY SIMMY (GB)",2023,GELDING,"Richard & Peter Fahey",T:39,T:52,A:57,A:62,A:x,A:x
"THANKS ANGEL (IRE)",2022,FILLY,"Adrian Keatley",T:43,T:30,T:62,T:x,T:x,T:x
"THANKS DAD (GB)",2020,GELDING,"Scott Dixon",T:32,T:24,A:47,A:30,A:52,A:62
"THANKSFORTHEHELP (FR)",2017,GELDING,,H:106,H:114,H:111,H:117,H:107,H:116
"THANKUAPPRECIATE (GB)",2020,GELDING,"Declan Carroll",A:61,A:68,A:69,A:71,A:63,A:62
"THANKYOU BARONESS (GB)",2021,FILLY,"Mrs Ilka Gansera-Leveque",A:57,A:46,T:36,T:65,T:74,T:x
"THANKYOUANDPLEASE (FR)",2020,GELDING,"Syd Hosie",H:109,H:0,H:108,H:101,H:97,S:70
"THANKYOURLUCKYSTAR (GB)",2016,GELDING,"Alastair Ralph",H:96,H:114,H:93,H:0,H:117,H:104
"THANOS (GB)",2023,GELDING,"Harry Charlton",T:74,T:68,T:58,A:58,A:57,A:x
"THAPA VC (IRE)",2018,GELDING,"Mark Rimell",T:60,T:58,A:51,A:64,A:56,A:63
"THAT DARN CANTOR (GB)",2023,GELDING,"Ed Dunlop",T:x,T:x,T:x,-,-,-
"THAT IS BLUE (IRE)",2021,FILLY,"Henrietta C Knight",H:x,H:x,N:x,-,-,-
"THAT LUCAS FELLA (IRE)",2022,GELDING,"Iain Jardine",A:44,A:46,A:47,A:48,H:40,A:50
"THAT ONE (GB)",2019,GELDING,"James Walton",H:81,S:0,H:82,H:109,H:112,H:x
"THAT'LL DO MOSS (GB)",2019,FILLY,,H:115,H:134,H:116,H:x,H:x,H:x
"THAT'S AMORE (IRE)",2022,FILLY,"Ralph Beckett",T:90,A:x,T:88,T:x,-,-
"THAT'S ENOUGH (GB)",2023,FILLY,"Dr Richard Newland & Jamie Insole",T:56,A:50,A:x,A:x,A:x,-
"THAT'S NICE (IRE)",2020,FILLY,"Nicky Henderson",S:109,S:0,S:117,S:108,S:106,H:x
"THAT'S RANDOM (GB)",2023,GELDING,"Harry Charlton",A:x,A:x,A:x,-,-,-
"THATS MY BOY LUKE (GB)",2021,GELDING,"Tim Easterby",T:38,T:52,T:59,T:32,T:57,T:65
"THE ACTOR (IRE)",2022,GELDING,,A:70,T:74,T:69,A:68,A:73,A:x
"THE ANGEL KING (GB)",2022,GELDING,"Ian Williams",T:89,T:77,-,-,-,-
"THE ANTHONY GOVER (GB)",2023,GELDING,"Dr Richard Newland & Jamie Insole",A:61,T:x,A:x,A:x,-,-
"THE BAY WARRIOR (IRE)",2018,GELDING,"Mark Usher",A:56,A:59,A:54,A:44,A:41,A:55
"THE BEAR OF SAINTS (FR)",2022,GELDING,"John O'Shea",T:x,T:x,T:x,T:x,-,-
"THE BELL CONDUCTOR (IRE)",2017,GELDING,"Ivan Furtado",T:80,A:60,A:72,A:70,T:63,A:67
"THE BELLHOP (IRE)",2022,GELDING,"Gary & Josh Moore",H:97,H:115,H:114,H:116,H:112,H:111
"THE BEST WAY (FR)",2018,GELDING,"Nicky Richards",H:76,H:95,H:0,H:x,H:x,H:x
"THE BIG BREAC (IRE)",2017,GELDING,"Joel Parkinson & Sue Smith",S:75,S:91,S:104,S:103,H:88,H:96
"THE BIG BREAKAWAY (IRE)",2015,GELDING,"L. Jefford",S:0,S:77,S:0,S:113,S:120,S:124
"THE BIG REVEAL (IRE)",2018,GELDING,"Grace Harris",S:0,S:94,S:94,S:79,S:87,S:86
"THE BITTER MOOSE (IRE)",2021,GELDING,"Patrick Chamings",T:70,T:62,A:68,T:38,T:74,T:60
"THE BLUE ROOM (IRE)",2020,GELDING,"Olly Murphy",H:x,H:x,H:x,N:x,N:x,N:x
"THE BLUEBERRY ONE (GB)",2019,GELDING,,S:0,S:81,S:82,H:79,H:104,H:x
"THE BLUESMAN (FR)",2019,GELDING,"Olly Murphy",S:0,S:128,S:132,S:126,S:123,H:x
"THE BOOLA BOSS (IRE)",2016,GELDING,"Rebecca Curtis",S:110,S:116,S:112,S:108,S:109,S:106
"THE BOSS BEAR (IRE)",2020,GELDING,,H:78,H:99,H:0,H:x,H:x,N:x
"THE BRAVE GUY (IRE)",2020,GELDING,"Jennie Candlish",H:x,H:x,H:x,-,-,-
"THE BRICKEY RANGER (IRE)",2018,GELDING,"Sarah-Jayne Davies",S:36,S:76,S:0,S:52,S:60,H:59
"THE BUNT (GB)",2020,GELDING,"Simon Pearce",A:44,A:61,T:71,A:76,A:75,A:x
"THE BURREN MAN (GB)",2021,GELDING,"Harry Derham",H:x,H:x,-,-,-,-
"THE CADDY MASTER (IRE)",2023,GELDING,,A:43,A:28,T:58,T:61,A:40,T:x
"THE CALTONIAN (GB)",2019,GELDING,"Linda Perratt",A:73,A:69,A:93,A:86,A:89,A:67
"THE CARIBBEAN (IRE)",2021,GELDING,"Heather Main",A:35,A:64,A:66,A:53,A:64,A:57
"THE CARLIGATION (GB)",2021,FILLY,"J. R. Jenkins",A:32,T:0,A:x,A:x,A:x,A:x
"THE CHILDE OF HALE (GB)",2022,GELDING,"Ivan Furtado",T:63,A:66,A:57,T:53,T:71,T:68
"THE CISTERCIAN (IRE)",2020,GELDING,"Stuart Edmunds",H:124,H:119,H:x,H:x,H:x,H:x
"THE CLONMEL KID (IRE)",2019,GELDING,"Philip Kirby",S:100,S:102,S:104,S:91,H:90,H:88
"THE COFFEE POD (IRE)",2021,GELDING,"William Muir & Chris Grassick",T:54,T:0,T:64,T:71,T:48,T:64
"THE COFFEY BOY (IRE)",2019,GELDING,"Ian Duncan",H:72,H:85,H:93,H:90,H:73,H:x
"THE COLA BRASIL (GB)",2016,GELDING,,A:27,A:37,A:30,A:41,A:46,T:42
"THE COLA KID (GB)",2017,GELDING,,A:30,A:14,A:48,A:50,A:44,A:48
"THE COLORIST (GB)",2020,GELDING,"Karen Jewell",A:57,A:50,T:0,A:56,A:58,A:51
"THE COOKSTOWN CAFU (GB)",2019,GELDING,"Fionn McSharry",A:64,A:57,A:55,A:54,A:57,T:41
"THE CORPORATE GUY (IRE)",2022,GELDING,,A:47,A:47,A:61,A:58,A:44,A:x
"THE CRAFTY MOLE (GB)",2021,GELDING,"Tom Ward",T:71,T:75,T:75,T:73,T:73,T:69
"THE CRAFTYMASTER (GB)",2020,GELDING,"Tony Carroll",H:x,H:x,T:42,A:57,A:60,A:54
"THE CURSOR (GB)",2022,GELDING,"Andrew Balding",A:99,T:x,T:79,T:87,T:x,T:x
"THE CUTEST (IRE)",2021,FILLY,"Derek Shaw",A:31,A:37,A:37,A:38,A:37,A:46
"THE CYPRUS PEARL (GB)",2023,FILLY,"Alan Brown",A:x,A:x,A:x,-,-,-
"THE DANCING TREE (IRE)",2019,GELDING,"Alan Hill",H:0,N:x,-,-,-,-
"THE DARK BARON (IRE)",2022,GELDING,"Kathy Turner",T:18,A:58,T:64,A:64,A:60,A:57
"THE DEFIANT (GB)",2016,GELDING,"Luke Dace",A:43,A:35,A:42,A:39,A:48,A:35
"THE DOG THIEF (IRE)",2020,GELDING,"Tom Ellis",H:122,H:x,H:x,-,-,-
"THE DOONAN (IRE)",2022,GELDING,"John & Sean Quinn",A:16,T:x,T:x,T:x,-,-
"THE DOYEN CHIEF (IRE)",2017,GELDING,"Alan King",S:123,S:141,S:139,S:138,S:0,S:140
"THE DRAGON KING (IRE)",2022,GELDING,"Clive Cox",T:73,T:69,A:80,A:79,A:84,A:84
"THE DREAM GOES ON (GB)",2019,FILLY,"Dr Richard Newland & Jamie Insole",S:105,S:0,S:92,S:0,S:0,S:102
"THE EGYPTIAN GINGE (IRE)",2021,GELDING,"Nigel & Willy Twiston-Davies",H:120,H:x,H:113,H:x,H:x,H:x
"THE ENGLISH ROGUE (GB)",2022,GELDING,,A:53,A:59,A:66,A:68,A:x,A:x
"THE EXPENSIVE ONE (IRE)",2020,GELDING,"Nigel & Willy Twiston-Davies",H:99,H:85,H:0,H:109,H:x,H:x
"THE FAMOUS FIVE (FR)",2018,GELDING,"Venetia Williams",S:115,S:117,H:103,S:95,S:123,S:120
"THE FEMININE URGE (IRE)",2022,FILLY,"Grace Harris",T:48,T:61,T:64,T:45,T:57,T:62
"THE FINAL BRIG (GB)",2020,GELDING,,H:53,H:x,H:x,H:x,H:x,N:x
"THE FINGAL RAVEN (IRE)",2022,GELDING,"Jamie Osborne",T:82,T:88,T:91,T:75,T:x,A:x
"THE FIXER (IRE)",2021,GELDING,"Scott Dixon",T:23,A:33,A:19,A:52,A:61,A:65
"THE FLIER BEGLEY (IRE)",2015,GELDING,"Gary Hanmer",S:100,S:116,H:x,S:93,S:0,S:135
"THE FLOORS MUNKY (GB)",2023,GELDING,"Gary Rutherford",T:15,T:34,T:x,A:x,T:x,-
"THE FLYING POET (IRE)",2019,GELDING,"Olly Murphy",S:105,H:99,H:99,H:98,H:94,H:97
"THE FLYING SEAGULL (IRE)",2022,GELDING,"Hugo Palmer",T:70,A:64,A:75,T:74,T:76,T:55
"THE FOUR SIXES (IRE)",2018,GELDING,"Chester Williams",H:0,H:108,H:81,H:123,H:110,S:0
"THE G WIZARD (IRE)",2020,GELDING,"N. W. Alexander",H:98,H:x,H:114,H:x,H:x,H:x
"THE GAY BLADE (GB)",2019,GELDING,"Iain Jardine",T:61,T:49,T:57,A:56,A:42,A:51
"THE GLEN ROVERS (GB)",2019,GELDING,"Lucy Wadham",T:86,A:91,A:80,A:79,A:83,A:92
"THE GOAT (GB)",2020,GELDING,,A:87,T:80,T:93,T:83,A:93,A:86
"THE GOLDEN SNITCH (IRE)",2023,GELDING,"Dominic Ffrench Davis",A:x,T:x,T:x,-,-,-
"THE GOOD BISCUIT (GB)",2021,GELDING,"Ruth Carr",T:73,T:78,T:79,T:77,T:78,T:75
"THE GOOD DOCTOR (FR)",2019,GELDING,,S:107,S:94,S:87,S:120,S:106,S:0
"THE GRAFTER (IRE)",2019,GELDING,,S:0,S:121,S:115,H:81,H:108,H:107
"THE GRAY GHOST (IRE)",2019,GELDING,"Robbie Llewellyn",H:119,H:120,H:120,H:115,H:114,H:116
"THE GRAYSTER (IRE)",2022,GELDING,"Dan Skelton",H:x,H:x,H:x,-,-,-
"THE GREAT ESCAPE (IRE)",2020,GELDING,"Jonjo & A.J. O'Neill",H:81,S:0,H:18,H:84,H:81,H:104
"THE GREEN MAN (IRE)",2019,GELDING,"Philip Kirby",A:73,A:70,A:74,A:74,A:66,A:69
"THE GREEN MILE (IRE)",2022,GELDING,"Neil Mulholland",T:81,T:71,T:78,T:68,T:85,T:x
"THE GREY MAN (GB)",2019,GELDING,"Harriet Dickin",S:0,S:105,S:105,H:0,S:99,S:80
"THE GREY VENTURE (IRE)",2020,GELDING,"George Bewley",H:x,H:x,H:x,-,-,-
"THE GYPSY DAVEY (IRE)",2018,GELDING,"Mrs C. Williams",S:84,S:0,S:78,S:91,S:104,S:113
"THE HARDEST GEEZER (IRE)",2019,GELDING,"Philip Hobbs & Johnson White",H:0,H:123,H:122,H:121,H:116,H:115
"THE HARE RAIL (IRE)",2022,GELDING,"Roger Teal",T:68,A:62,T:69,A:67,A:72,A:x
"THE HATCHET (IRE)",2020,GELDING,"Lucinda Russell & Michael Scudamore",H:0,H:111,H:115,H:102,H:x,H:x
"THE HAWKSTONIAN (IRE)",2020,GELDING,"Ben Pauling",H:x,H:x,H:x,H:x,N:x,N:x
"THE ITALIAN FOX (IRE)",2020,GELDING,,H:96,H:99,H:86,H:x,H:x,H:x
"THE JAD FACTOR (IRE)",2016,GELDING,,S:0,S:0,S:93,S:95,S:91,S:0
"THE JAM MAN (IRE)",2013,GELDING,,H:54,H:0,S:0,S:84,H:0,H:20
"THE JEWELLER'S PET (IRE)",2019,GELDING,"Ian Duncan",H:99,H:96,S:89,S:89,S:80,S:84
"THE JOKER (FR)",2023,COLT,"Jane Chapple-Hyam",T:81,T:80,T:80,T:x,T:x,T:x
"THE JUKEBOX KID (IRE)",2019,GELDING,"Ben Pauling",S:142,S:140,S:128,S:130,H:x,H:x
"THE JUKEBOX MAN (IRE)",2018,GELDING,"Ben Pauling",S:148,S:168,S:157,S:151,S:148,H:x
"THE KALOOKI KID (GB)",2018,GELDING,"Nicky Richards",S:0,S:129,S:136,S:139,S:127,S:136
"THE KEMBLE BREWERY (GB)",2019,GELDING,"Kim Bailey & Mat Nicholls",H:142,H:138,H:135,S:120,H:0,H:x
"THE KINGS SOLDIER (IRE)",2021,GELDING,"Tracey Leeson",H:43,H:73,H:x,H:x,H:x,N:x
"THE LAKES (GB)",2022,FILLY,"Simon Whitaker",A:x,A:x,A:x,N:x,N:x,N:x
"THE LAST CLOUD (IRE)",2020,GELDING,"Patrick Neville",H:x,H:x,H:x,H:x,H:123,H:120
"THE LAST DROP (IRE)",2019,FILLY,"Richard Phillips",H:58,H:49,H:58,H:54,H:45,H:77
"THE LONG POINT (IRE)",2019,GELDING,"Emma Lavelle",S:0,S:109,S:110,S:100,S:82,H:82
